id,value
id_0,35.39705691920577
id_1,13.717200901715685
id_2,10.139937019447267
id_3,18.867396121823926
id_4,29.32511751385035
id_5,96.60233347877552
id_6,27.406502089435183
id_7,36.33211569404933
id_8,32.2187355599592
id_9,19.616861572549134
id_10,27.518308420229925
id_11,36.022587608705045
id_12,39.9013078762493
id_13,16.1980003266642
id_14,26.36046627601221
id_15,41.885653827847
id_16,29.533549437907734
id_17,61.86525508828967
id_18,21.29601319708255
id_19,7.696464412989724
id_20,31.47428112337345
id_21,26.513060458804258
id_22,44.67252677803617
id_23,42.97129367497705
id_24,16.55939599178849
id_25,13.543681264531852
id_26,41.46053804601435
id_27,35.74734691803965
id_28,56.50551882303529
id_29,19.50701630670576
id_30,16.190699364678046
id_31,37.83407675604389
id_32,35.04392656553916
id_33,27.654986426644133
id_34,52.009196373767104
id_35,41.15776486580396
id_36,19.269612388724674
id_37,46.788839872770545
id_38,22.88055661935324
id_39,3.531182096459563
id_40,30.263480911196083
id_41,8.136116516887816
id_42,50.67692910750464
id_43,23.573209342199032
id_44,56.69196701568956
id_45,39.04575374879356
id_46,35.80482827588112
id_47,25.253698316979914
id_48,23.57151405485915
id_49,54.590042394392455
id_50,25.99767221656948
id_51,50.45945067194389
id_52,26.800164029100188
id_53,30.196702602503454
id_54,18.832335613533584
id_55,37.92484853512224
id_56,39.4624270336606
id_57,27.839354110877544
id_58,28.918768109449466
id_59,9.6705644159997
id_60,67.63510318675917
id_61,84.89707017727181
id_62,37.01966117750012
id_63,21.004525559253448
id_64,14.785756285842105
id_65,41.67820409653385
id_66,30.78593888387027
id_67,13.890788699353337
id_68,50.38995163723831
id_69,7.4144004425168815
id_70,19.515896573253567
id_71,22.518040324725177
id_72,32.832302711663644
id_73,14.70588843069377
id_74,53.05775787795706
id_75,62.00463169162261
id_76,10.13017318106587
id_77,36.70383151783225
id_78,77.1280774408734
id_79,46.160872174483046
id_80,53.24158195522854
id_81,24.425713715613178
id_82,14.606590235720537
id_83,42.01012886313095
id_84,16.252215891362756
id_85,13.311198140274065
id_86,30.044021074136975
id_87,89.25282207116315
id_88,29.52094035767985
id_89,43.97704129378642
id_90,16.60307439776956
id_91,63.94756215777553
id_92,58.76638170810305
id_93,9.901464359698634
id_94,24.71921649617755
id_95,26.79602188824796
id_96,25.19452890776499
id_97,4.784675380421441
id_98,16.478052663667526
id_99,33.46434493308955
id_100,23.549114008512106
id_101,51.1432328814318
id_102,25.490830295143844
id_103,36.425879451638444
id_104,29.9702457925536
id_105,24.71014711608255
id_106,18.11645097591147
id_107,36.76632662797911
id_108,10.80069355293375
id_109,70.02732807300796
id_110,28.846764505791693
id_111,71.93353679537658
id_112,23.594700207448263
id_113,27.666509431872182
id_114,30.434004444813066
id_115,38.317795745942796
id_116,37.67834418543108
id_117,21.674876950492845
id_118,30.315026952012882
id_119,49.418994426947854
id_120,25.635959669502945
id_121,33.140144347616555
id_122,71.85613508816462
id_123,8.463505189493054
id_124,37.38414413017034
id_125,4.754347134950835
id_126,32.16729138122053
